error=0.333, alpha=2.891872133271399Boosting round: 1, Accuracy: 0.2841
error=0.22328497913205558, alpha=3.443849202992191Boosting round: 2, Accuracy: 0.219
error=0.18604200662061954, alpha=3.6731608465610632Boosting round: 3, Accuracy: 0.2623
error=0.18083815023366145, alpha=3.707903826799014Boosting round: 4, Accuracy: 0.2611
error=0.23185901426048447, alpha=3.3950683790272205Boosting round: 5, Accuracy: 0.2778
error=0.65954, alpha=1.5359795993954355Boosting round: 1, Accuracy: 0.3278
error=0.7058472419040469, alpha=1.3219249522566703Boosting round: 2, Accuracy: 0.3278
error=0.719268580829822, alpha=1.256388150217445Boosting round: 3, Accuracy: 0.3467
error=0.728993342287852, alpha=1.2077033658148209Boosting round: 4, Accuracy: 0.3634
error=0.7131845876660772, alpha=1.2863231479378607Boosting round: 5, Accuracy: 0.3674
error=0.714181105030647, alpha=1.2814463745270666Boosting round: 6, Accuracy: 0.378
error=0.7120909717936006, alpha=1.2916634606668411Boosting round: 7, Accuracy: 0.3776
error=0.7099927598145839, alpha=1.3018756936225784Boosting round: 8, Accuracy: 0.3775
error=0.6816768198610035, alpha=1.4357360594293818Boosting round: 9, Accuracy: 0.3775
error=0.6928751321959479, alpha=1.383629179213725Boosting round: 10, Accuracy: 0.3852
error=0.6782623614377263, alpha=1.4514268268258574Boosting round: 11, Accuracy: 0.3796
error=0.6866754038029435, alpha=1.4126025820464638Boosting round: 12, Accuracy: 0.3781
error=0.6767588529624716, alpha=1.4583081972646597Boosting round: 13, Accuracy: 0.3841
error=0.6864516183651588, alpha=1.4136425059586153Boosting round: 14, Accuracy: 0.3872
error=0.6673989419000269, alpha=1.5007803444787593Boosting round: 15, Accuracy: 0.3872
error=0.6683214268823799, alpha=1.4966216882541652Boosting round: 16, Accuracy: 0.3828
error=0.7029731373886648, alpha=1.3357284788670265Boosting round: 17, Accuracy: 0.3863
error=0.6608886063900119, alpha=1.5299679226701497Boosting round: 18, Accuracy: 0.39
error=0.7003968506699899, alpha=1.3480362367783159Boosting round: 19, Accuracy: 0.3894
error=0.650608887990433, alpha=1.575507861679462Boosting round: 20, Accuracy: 0.391
error=0.6975734370162933, alpha=1.3614552641402287Boosting round: 21, Accuracy: 0.3921
error=0.6817092113280095, alpha=1.4355867814989878Boosting round: 22, Accuracy: 0.3946
error=0.6605577154050442, alpha=1.5314440071598383Boosting round: 23, Accuracy: 0.3936
error=0.6600791574141516, alpha=1.5335775886118426Boosting round: 24, Accuracy: 0.3921
error=0.6674578712674786, alpha=1.5005148582843437Boosting round: 25, Accuracy: 0.3917
error=0.6777140807526103, alpha=1.4539381876698991Boosting round: 26, Accuracy: 0.3866
error=0.6987849019396005, alpha=1.3557062260377766Boosting round: 27, Accuracy: 0.3877
error=0.683549121586542, alpha=1.4270940830886443Boosting round: 28, Accuracy: 0.3861
error=0.6749483475081856, alpha=1.466572512047388Boosting round: 29, Accuracy: 0.3889
error=0.6794407911611263, alpha=1.446021481699383Boosting round: 30, Accuracy: 0.3897
error=0.7005018442888451, alpha=1.3475358383887635Boosting round: 31, Accuracy: 0.3918
error=0.6873942210957861, alpha=1.4092595242517838Boosting round: 32, Accuracy: 0.3922
error=0.7067602611404827, alpha=1.3175235579182114Boosting round: 33, Accuracy: 0.3961
error=0.6658646225743801, alpha=1.5076844293553633Boosting round: 34, Accuracy: 0.3992
error=0.6745311915351122, alpha=1.4684732893494177Boosting round: 35, Accuracy: 0.396
error=0.6794318648728773, alpha=1.4460624650856133Boosting round: 36, Accuracy: 0.3993
error=0.6751663165610344, alpha=1.4655788299884351Boosting round: 37, Accuracy: 0.3988
error=0.68549991085939, alpha=1.418060567947635Boosting round: 38, Accuracy: 0.3961
error=0.6737388019102666, alpha=1.4720803574870365Boosting round: 39, Accuracy: 0.3996
error=0.6607815671006106, alpha=1.5304454950574533Boosting round: 40, Accuracy: 0.3987
error=0.699581101547149, alpha=1.351920676655275Boosting round: 41, Accuracy: 0.3999
error=0.6702228819894603, alpha=1.488031286891567Boosting round: 42, Accuracy: 0.4021
error=0.6844341922554444, alpha=1.4229993197272255Boosting round: 43, Accuracy: 0.4045
error=0.6728193305339092, alpha=1.4762602619534075Boosting round: 44, Accuracy: 0.4012
error=0.6938732348303694, alpha=1.3789345736878695Boosting round: 45, Accuracy: 0.4025
error=0.6551246088559626, alpha=1.5555822839651638Boosting round: 46, Accuracy: 0.4043
error=0.684810976135655, alpha=1.4212542590136548Boosting round: 47, Accuracy: 0.4052
error=0.6578778376046379, alpha=1.5433731936514472Boosting round: 48, Accuracy: 0.4038
error=0.7110576070062271, alpha=1.2966984643445014Boosting round: 49, Accuracy: 0.4055
error=0.6487439774890619, alpha=1.5837017925926447Boosting round: 50, Accuracy: 0.4085
error=0.6898803478525083, alpha=1.397664601370845Boosting round: 51, Accuracy: 0.409
error=0.6627090308045496, alpha=1.5218345189495088Boosting round: 52, Accuracy: 0.4112
error=0.6976198531442062, alpha=1.3612352361556905Boosting round: 53, Accuracy: 0.4115
error=0.6774150792745359, alpha=1.4553067983349752Boosting round: 54, Accuracy: 0.4117
